NAME	SMILES	MDR1	BCRP	MRP2
Cladribine	NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1	False	True	False
Dactinomycin	[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C	True	True	False
Doxorubicin	COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O	True	True	True
Topotecan	CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=C(C=CC(O)=C4CN(C)C)N=C13)C2=O	True	True	False
Alvocidib	CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl	False	True	False
Tetrandrine	COC1=C2OC3=CC=C(C[C@@H]4N(C)CCC5=CC(OC)=C(OC6=C7[C@H](CC(C=C1)=C2)N(C)CCC7=CC(OC)=C6OC)C=C45)C=C3	False	False	False
Hydroxyrubicin	COC1=CC=CC2=C1C(=O)C1=C(C(O)=C3C[C@](O)(C[C@H](O[C@H]4C[C@H](O)[C@H](O)[C@H](C)O4)C3=C1O)C(=O)CO)C2=O	True	False	False
berberine	COC1=C(OC)C2=C[N+]3=C(C=C2C=C1)C1=C(CC3)C=C2OCOC2=C1	True	False	False
Pimozide	FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1	True	False	False
NSC 632536	CC1(C)CC(CC(C)(C)N1)NC1=CC=C(NC2=CC=CC=C2)C=C1	False	False	False
Acodazole	CN(C(C)=O)C1=CC=C(NC2=C3C4=C(NC=N4)C=CC3=NC(C)=C2)C=C1	True	False	False
Homolka's Base	NC1=CC=C(C=C1)C(C1=CC=C(N)C=C1)=C1C=CC(=N)C=C1	True	False	False
Romidepsin	CC=C1/NC(=O)[C@H]2CSSCCC=C[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O	True	False	False
Usnic acid	CC(=O)C1C(=O)C=C2OC3=C(C(O)=C(C)C(O)=C3C(C)=O)C2(C)C1=O	False	False	False
NSC109350	CCC1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1CC1N(CCC2=C1C=C(OC)C(OC)=C2)C(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)OC(C)(C)C	False	False	False
NSC122301	C(N1CCC2=C(C1)C1=CC=CC=C1N2)C1=CC=CC=C1	False	False	False
NSC145150	CC1C2C=C(C3COC(=O)C(=C)C23C=C1C)C(O)=O	False	False	False
NSC161128	CN(C)C(=S)SN(C)C(=O)NC1=CC=CC=C1	False	False	False
NSC208912	CCOC(=O)CNC(=O)N(CC)C12CC3CC(CC(C3)C1)C2	False	False	False
NSC209835	C[C@H]1[C@H]2[C@H](CC3=CC=CC=C3)NC(=O)[C@@]22[C@@H](C=CC[C@H](C)C(=O)[C@](C)(O)C=C[C@H]2OC(C)=O)[C@H](O)C1=C	False	False	False
NSC227279	OCC1=C(CO)C(=O)C2=C(C(O)=CC=C2O)C1=O	False	False	False
NSC241906	COC1=CC(O)=C(CC2=CC=CC=C2O)C(O)=C1C(=O)CCC1=CC=CC=C1	False	False	False
NSC286628	CC1OC(CC(N)C1O)OC1CC(O)(CC2=C1C(O)=C1C(=O)C3=C(C=CC=C3OCC3=CC=CC=C3)C(=O)C1=C2O)C(C)=O	False	False	False
NSC329097	NCC1=CC=C(O)C(O)=C1O	False	False	False
NSC338720	COC1=C(Cl)C(OC)=C(Cl)C(=N1)C(Cl)(Cl)Cl	False	False	False
NSC353882	CN1C=C(C=C(C(C)=O)C(C)=O)C(=O)N(C)C1=O	False	False	False
NSC375503	COC1=C(O)C(=CC=C1)[C@@H]1[C@@H](C)[C@H](OC2=C1C=C1OCOC1=C2)N1CCCC1	False	False	False
NSC383031	CN1C2=CC=CC=C2C(=O)C2=C(O)C=C3OC(CC3=C12)C1(C)CO1	False	True	False
NSC600288	CC(=O)OC1=C(OC(C)=O)C=C2OCC(CC2=C1)C1=CC=C(C)C=C1	False	False	False
NSC600291	COC1=C(OC)C=C(C=C1)C1COC2=C(C1)C=CC(O)=C2C	False	False	False
NSC607097	COC1=C2C(CO)N3C(CC2=CC=C1)C1C(CC(C3C#N)N1C)C(O)=O	False	False	False
NSC617131	CC1=CC=CC=C1[C@@H]1CC2(CC(=C)C(=O)O2)C[C@H](O1)C1=CC=CC=C1C	False	False	False
NSC618093	CC1OC(C=C(OC(C)=O)C1=O)N1C=C(F)C(=O)NC1=O	False	False	False
NSC620056	O=C1C=CC(=O)C2=C1C=CC(=O)C=C2	False	True	True
NSC622381	OC(=O)C(Cl)=C(Cl)C(=O)NC1=CC=CC(Cl)=C1	False	True	True
NSC622384	FC1=CC=C(C=C1)N1C(=O)C(Cl)=C(Cl)C1=O	False	True	True
NSC625133	COC(=O)C1C(C(=O)OC)C(C(=O)OC)(C(=O)OC)C(C(=O)OC)=C(C(=O)OC)C(C(=O)OC)=C1C(=O)OC	False	False	True
NSC625301	CC(=O)NC=CC1=CC(O)=CC=C1O	False	False	False
NSC626030	CC(C)(C)C1=NC2=C(O1)C(=NC1=CC=C(F)C=C1)C1=C(C=CC=C1)C2=O	False	False	False
NSC626482	COC1=CC(=O)C2=C(O)C3=C(C=C(C)OC3O)C(O)=C2C1=O	False	False	False
NSC627777	CN(C)C1=CC=C(C=C1)N=C1/C=CC(=C(C#N)C#N)C2=C1C=CC=C2	False	False	False
NSC628939	O=C1C2=C(C=CC=C2)C(=O)C2=C1C=CC1=CON=C21	False	False	True
NSC630684	CN(N=CC1=CC=CC2=CC=CN=C12)C1=CC=C(C=C1[N+]([O-])=O)[N+]([O-])=O	False	False	False
NSC637399	COC(=O)[C@]12C(COC(C)=O)C=C3O[C@@H]4OC5(CCCCC5)O[C@@H]4C3[C@H]1C(=O)C=CC2=O	False	False	True
NSC640192	O=C1C=CC(=O)C2=C1C=CC(=O)C(SC1=CC=CC=C1)=C2	False	True	True
NSC642915	CCCCCCCCCCCCCCCC(=O)OCC1OC(OC)C2NP(=O)(OC1C2O)N(CCCl)CCCl	False	False	True
NSC645158	[O-][N+](=O)C1=CC2=NC3=CC=CC=C3C(NC3=CC=CC=C3C3=CC=CC=C3NC3=C4C=CC=CC4=NC4=CC(=CC=C34)[N+]([O-])=O)=C2C=C1	False	False	False
NSC645838	CN1C(O)=C(C(=O)NC2=CC=C(C=C2)[N+]([O-])=O)C(=O)N(C)C1=S	False	False	False
NSC645991	C[C@@]1(C[C@H](O)[C@H]2[C@H](OC(=O)C2=C)[C@@H]1C(=C)C=O)C=C	False	False	False
NSC646923	COC1=CC=C2C(=O)C(=COC2=C1)C1=CC(OC)=C(OC)C=C1OC	False	False	False
NSC648147	CN1C2=CC=CC=C2C2=C(C)C=C3C(=O)C=CC(=O)C3=C12	False	False	True
NSC648150	CN1C2=CC=CC=C2C2=CC(C3=CC=CC=C3)=C3C(=O)C=CC(=O)C3=C12	False	False	True
NSC648581	COC1=CC(CC2=CC(O)=C(OC)C=C2)=CC(OC)=C1OC	False	False	False
NSC649910	CCCCCCCCCC=C1CCC(CN2CCOCC2)C1=O	False	False	True
NSC650396	COC1=C(OC)C=C(C=C1)C1=CN2CCC[C@H]2C=C1C1=CC(OC)=C(OC)C(O)=C1	False	False	False
NSC650772	COC1=CC(CNC2=CC=C(SC)C=C2)=CC(OC)=C1OC	False	False	False
NSC652112	COC1=CC(=CC(OC)=C1)C1=CC(=O)C2=CC3=C(OCO3)C=C2N1	False	False	False
NSC652892	OC1=CC=C(C(=O)C=CC2=CC=C(O)C(O)=C2)C(O)=C1	False	False	False
NSC664311	CC1=C(C)C=C2N=C(SC2=C1)C=C(C(F)(F)F)C(F)(F)F	False	False	True
NSC666222	C[C@H]1[C@H](OC2=C(C=C3OCOC3=C2)[C@@H]1C1=CC2=C(OCO2)C=C1)N1CCOCC1	False	False	False
NSC667251	CN(C)C1=CC(C=C(/C#N)C2=CC=CC=C2)=CC=C1	False	False	False
NSC671136	CC(=O)C1=C(OC(=O)C2=CC=C(Cl)C=C2Cl)C2=C(S1)N(C(=S)N(C2=O)C1=CC=CC=C1)C1=CC=CC=C1	False	False	False
NSC671170	CCN(CC)[C@H]1OC2=C(C=C3OCOC3=C2)[C@@H]([C@H]1C)C1=CC(OC)=C(O)C(OC)=C1	False	False	False
NSC674066	COC1=CC=C2NC=C(C3C4CCC(C4)C3NCC3=CC(CNC4C5CCC(C5)C4C4=CNC5=CC=C(OC)C=C45)=CC=C3)C2=C1	False	False	False
NSC680715	OC1=CC=C(Br)C(C=O)=C1	False	False	False
NSC680717	COC1=CC=C(Br)C(C=NC2=CC=CC3=CC(OC)=C(OC)C=C23)=C1	False	False	False
NSC682994	CCCC(=O)OC1=C2C=CSC2=C(OC(=O)CCC)C2=C1SC=C2	False	False	False
