DRUGBANKID	SMILES	NAME	MDR1	BCRP	MRP2
DB00148	CN(CC(O)=O)C(N)=N	Creatine	None	None	None
DB00171	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	ATP	None	None	None
DB00197	CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O	Troglitazone	None	None	None
DB00269	COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1	Chlorotrianisene	None	None	None
DB00365	CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O	Grepafloxacin	True	None	None
DB00382	NC1=C2CCCCC2=NC2=CC=CC=C12	Tacrine	None	None	None
DB00414	CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1	Acetohexamide	None	None	None
DB00447	N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1	Loracarbef	None	None	None
DB00522	OC(=O)C1=CC=C(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)C2=CC=CC=C2)C=C1	Bentiromide	None	None	None
DB00532	CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1	Mephenytoin	None	None	None
DB00533	CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1	Rofecoxib	None	None	None
DB00574	CCNC(C)CC1=CC(=CC=C1)C(F)(F)F	Fenfluramine	None	None	None
DB00580	CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O	Valdecoxib	None	None	None
DB00848	C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1	Levamisole	None	None	None
DB00886	[H][C@]12CCC[C@H](N1C(=O)[C@H](CCS2)NC(=O)[C@@H](S)CC1=CC=CC=C1)C(O)=O	Omapatrilat	None	None	None
DB01079	CCCCCNC(=N)N\N=C\C1=CNC2=C1C=C(OC)C=C2	Tegaserod	None	None	None
